,Date,Recommendation,Hours Active,Comment
16,"December 11, 2017",Recommended,9.9 ,"This game seriously gave me anxiety.>Really too shy to talk to other people. And when i join in a conversation with some random people, i feel like i'm a third wheel. I stuttered a LOT.You don't need a VR set to play this game. I played it with keyboard and mouse."
17,January 1,Recommended,10.5 ,Pros: the peopleCons: the people
18,"January 13, 2018",Recommended,1.8 ,"I am actually a shy person in real life. I play this game as I thought it will boost my self-confidence and public speaking skills by talking to strangers and doing presentations.By the moment I step into the world, a bunch of red midgets was spitting at me and asking if I know the way of the 'devil'. Anime catgirls patting each other on the head. Big giant c0ck(i mean chicken) floating in the air. Monika on the stage singing karaoke.I guess I'm stuck being a self-conscious guy.9.99/10 will experience this again~"
19,"April 8, 2020",Recommended,"6,454.6 ",What can i say before i played vrchat i wasnt able to talk thanks to social anxiety and depression and now i am able to talk to anyone whitout any problems. For me it was and still is a life changing expirience. I would recommend anyone to give it a try.
20,"November 14, 2020",Recommended,315.2 ,I'm scared every time i loge in because of social anxiety.10/10 would only play with extroverted friends.
21,"July 25, 2022",Not Recommended,"4,610.7 ","3,864 hours on record at the time of this review. This game saved my life to be honest. I was at a dark spot in my life alone no friends to actively talk to and antisocial as all hell. There were the good times like meeting my best friend and finally finding my footing on who i am. And there were the bad times like dealing with the crashers and hackers and dealing with manipulators. We built walls in the form of anti-crash mods to defend ourselves from those subhumans we built crutches in the form of mods to assist those who have medical problems or poor preforming computers.300+ friends. All of which varied in many ways. Some were the fearless types ready to take of the pain of life. Some were the gentle type those to ease your burdens and be a shoulder to cry on. Others were the funny type with a joke or a perfectly timed soundboard to make everyone laugh.1 update. One update just shattered all of this. With the anti-cheat the only people being punished are those who use mods to assist in playing the game. No more better frame rates due to a AI upscale system. No more sign language assistance mods. No more anti-crash the only thing keeping the subhumans at bay. All of it. Gone. Yet the subhumans have free reign of this game now as easy anti-cheat is a easy to bypass system. Its the one ply toilet paper of the gaming world.Vrchat was a good game. But what killed it was not the hackers or the rippers or the crashers. No it was greed. If it was not for this game i feel like I would of committed suicide with how alone I was before i found this game. I just hope that we don't have to watch it die."
22,"December 16, 2017",Recommended,27.2 ,Social Anxiety Simulator.Now in VR!
23,"September 1, 2022",Not Recommended,"1,158.7 ","This probably won't reach many eyes that can change anything, but I feel an urge to vent stuff that has been weighing on my mind.Why are you only just adding the features people have been asking about since 2014 in the past month? It's good that you're adding SOME of them now, but did you not care? Are you taking code from the modding scene you destroyed to make yourself look better?If you can add such systems like a personal portable mirror in a month, why has it taken 8 years to produce when it has been requested over and over? It has to be either you were too lazy to add it previously or, now that the work has been done for you by other people, you're taking other people's work and putting it in your game.Why are you annoying the creators who make the content for your game by updating your TOS to take the things they make? Do you plan on making a market place to sell the stuff you've snatched the rights for?You implemented EAC so that you can try to stop avatar ripping, but you're then updating your TOS so that you can take the avatars instead.How can you take something so good, that I loved so much, and make it bring me so much hate now?Rant over, enjoy your money I guess, I'll be looking for alternatives to produce content for."
24,"November 12, 2021",Recommended,9.0 ,got sexually assaulted by a small man in penguin costume. Then a small woman kept screaming FBI OPEN UP!.Someone kept showing me a meme image from 2002.Cannot recommend for mental health and safetyWould play again.
25,"November 24, 2017",Recommended,49.9 ,kermit the frog told me to jump off a cliff.So I did10/10
26,"December 18, 2020",Recommended,137.4 ,got sexually assaulted and molested by anime catgirls
27,"March 16, 2019",Recommended,"5,455.7 ","No better place to meet weebs, furries, and dead memes"
28,"January 16, 2022",Recommended,1.8 ,Broke up with my VRchat girlfriend and heard my father cry upstairs.
29,"January 6, 2021",Recommended,19.6 ,walked in on 2 dudes dressed as anime girls having pretend sex now i want to kill myself
